italian,vulgar_latin
quindi,eccum inde
rabbia,rabia
racimolo,racimus
radicchio,radiclus
ragliare,raglo
rame,aramen
ramoscello,ramuscellus
rancio,rancius
rapire,rapire
rasare,rasare
raschiare,rasclare
raspare,raspare
ratto,rattus
rendere,rendere
ricattare,recaptare
richiedere,requaerere
ricordare,recordare
ridere,ridere
rigogolo,aurigalbulus
rio,rius
rischio,resicum
ritondo,retundus
ritorcere,retorcere
rivoltare,revoltare
rizzare,rectare
roba,roba
rocca,rocca
roggia,arrugia
rogna,aronea
ronchio,roncus
rosicare,rosicare
rosicchiare,rosiclare
rovaio,borearius
rubecchio,rubiculus
ruffiano,rufianus
ruscello,rivuscellus
sabbia,sabla
salsa,salsa
salsiccia,salsicia
sapere,sapere
sarchiare,sarclare
sarchio,sarclum
sbadigliare,exbadaculo
sbadiglio,exbadaculum
sbattere,exbattere
scadere,excadere
scalpitare,scalpitare
scalzo,excalceus
scambiare,excambiare
scampare,excampare
scapitare,excapitare
scapolare,excapulare
scappare,excappare
scarafaggio,scarafaius
scarmigliare,excarminare
scassare,exquassare
scegliere,exeligere
scelto,exeltus
scemare,exsemare
sceverare,exseperare
schiamazzare,ex clamitiare
sciacquare,exaquare
sciamare,examinare
scipito,ex sipitum
sciupare,exsupare
scolare,excolare
scoppio,scloppus
scorciare,excurtiare
scorgere,excorrigere
scortare,excurtare
scottare,excoctare
scrivano,scribanem
scuotere,exquatere
sdraiare,exderadiare
sdrucciolare,exderoteolare
secchia,sicla
segugio,segusius
seguire,sequire
seguitare,sequitare
selvatico,salvaticus
semenza,sementia
senno,sennus
serpe,serpes
serrare,serrare
sfondolare,exfundorare
sforzare,exfortiare
sgomentare,excommentare
sinestro,sinexter
singhiozzare,singlutiare
singhiozzo,singlutius
smeraldo,smaraudus
sminuzzare,minutiare
smorzare,exmortiare
smuovere,exmovere
snello,snellus
sobillare,subilare
soccorso,succursum
soffrire,sufferire
soggiornare,subdiurnare
solecchio,soliculus
solleticare,subliticare
solto,soltus
somigliante,similiante
somigliare,similiare
sonnacchioso,somniclosus
sonnecchiare,somniculare
soprano,superanus
sorba,sorbea
sorbire,sorbire
sorridere,subridere
sorso,sorsum
sortire,sortire
sorto,surctus
sottano,subtanus
sotterrare,subterro
soverchio,superclus
sovra,subra
spalla,spatla
sparare,exparo
spassare,expassare
spaventare,expaventare
specchio,speclum
spegnere,expingere
spenzolare,pendiolare
speranza,sperantia
spiare,spio
spicchio,spiclum
spilla,spinla
spingere,expingere
spinto,expinctus
spremere,expremere
squadra,exquadra
